file_type,original_file_size,compression_method,compressed_file_size,compression_ratio
2,319008,0,319008,0.0000000000
2,260134,1,260184,-0.0001922086
2,260134,2,516732,-0.9864070056
2,260134,3,260280,-0.0005612492
2,260134,0,260134,0.0000000000
2,295279,1,295394,-0.0003894622
2,295279,2,585972,-0.9844689260
2,295279,3,295424,-0.0004910610
2,295279,0,295279,0.0000000000
2,266676,1,266786,-0.0004124856
2,266676,2,529848,-0.9868604599
2,266676,3,266820,-0.0005399811
2,266676,0,266676,0.0000000000
2,216783,1,216878,-0.0004382262
2,216783,2,431252,-0.9893257313
2,216783,3,216924,-0.0006504200
2,216783,0,216783,0.0000000000
2,215265,1,215360,-0.0004413165
2,215265,2,427996,-0.9882284626
2,215265,3,215408,-0.0006642975
2,215265,0,215265,0.0000000000
2,252243,1,252348,-0.0004162653
2,252243,2,501586,-0.9885031497
2,252243,3,252388,-0.0005748425
2,252243,0,252243,0.0000000000
2,387691,1,387714,-0.0000593256
2,387691,2,769152,-0.9839305014
2,387691,3,387712,-0.0000541668
2,387691,0,387691,0.0000000000
2,250531,1,250636,-0.0004191098
2,250531,2,498114,-0.9882329931
2,250531,3,250676,-0.0005787707
2,250531,0,250531,0.0000000000
2,211296,1,211386,-0.0004259428
2,211296,2,420332,-0.9893041042
2,211296,3,211440,-0.0006815084
2,211296,0,211296,0.0000000000
2,207500,1,207590,-0.0004337349
2,207500,2,412626,-0.9885590361
2,207500,3,207644,-0.0006939759
2,207500,0,207500,0.0000000000
2,273148,1,273258,-0.0004027121
2,273148,2,542618,-0.9865347724
2,273148,3,273292,-0.0005271867
2,273148,0,273148,0.0000000000
2,322187,1,322312,-0.0003879734
2,322187,2,640046,-0.9865668075
2,322187,3,322340,-0.0004748795
2,322187,0,322187,0.0000000000
2,248032,1,248137,-0.0004233325
2,248032,2,493436,-0.9894045930
2,248032,3,248176,-0.0005805702
2,248032,0,248032,0.0000000000
2,288913,1,289028,-0.0003980437
2,288913,2,573066,-0.9835244520
2,288913,3,289060,-0.0005088037
2,288913,0,288913,0.0000000000
2,352909,1,353023,-0.0003230294
2,352909,2,700264,-0.9842622319
2,352909,3,353060,-0.0004278723
2,352909,0,352909,0.0000000000
2,212635,1,212725,-0.0004232605
2,212635,2,422914,-0.9889199802
2,212635,3,212776,-0.0006631081
2,212635,0,212635,0.0000000000
2,301705,1,301737,-0.0001060639
2,301705,2,599496,-0.9870270629
2,301705,3,301852,-0.0004872309
2,301705,0,301705,0.0000000000
2,252585,1,252690,-0.0004157016
2,252585,2,502122,-0.9879327751
2,252585,3,252732,-0.0005819823
2,252585,0,252585,0.0000000000
2,260252,1,260345,-0.0003573460
2,260252,2,517046,-0.9867128783
2,260252,3,260396,-0.0005533099
2,260252,0,260252,0.0000000000
2,236140,1,236205,-0.0002752604
2,236140,2,469614,-0.9887100872
2,236140,3,236284,-0.0006098077
2,236140,0,236140,0.0000000000
2,268237,1,268324,-0.0003243400
2,268237,2,532118,-0.9837606296
2,268237,3,268384,-0.0005480228
2,268237,0,268237,0.0000000000
2,229776,1,229835,-0.0002567718
2,229776,2,456628,-0.9872745631
2,229776,3,229920,-0.0006266973
2,229776,0,229776,0.0000000000
2,207934,1,208024,-0.0004328296
2,207934,2,413580,-0.9889965085
2,207934,3,208076,-0.0006829090
2,207934,0,207934,0.0000000000
2,259148,1,259253,-0.0004051739
2,259148,2,515230,-0.9881689228
2,259148,3,259292,-0.0005556670
2,259148,0,259148,0.0000000000
2,228925,1,229020,-0.0004149831
2,228925,2,455316,-0.9889308726
2,228925,3,229068,-0.0006246587
2,228925,0,228925,0.0000000000
2,251267,1,251372,-0.0004178822
2,251267,2,499714,-0.9887768788
2,251267,3,251412,-0.0005770754
2,251267,0,251267,0.0000000000
2,210095,1,210185,-0.0004283776
2,210095,2,417864,-0.9889288179
2,210095,3,210236,-0.0006711250
2,210095,0,210095,0.0000000000
2,354276,1,354274,0.0000056453
2,354276,2,702932,-0.9841366618
2,354276,3,354320,-0.0001241970
2,354276,0,354276,0.0000000000
2,210878,1,210968,-0.0004267871
2,210878,2,419542,-0.9895010385
2,210878,3,211020,-0.0006733751
2,210878,0,210878,0.0000000000
2,295891,1,295991,-0.0003379623
2,295891,2,586946,-0.9836561436
2,295891,3,296036,-0.0004900453
2,295891,0,295891,0.0000000000
2,261670,1,261775,-0.0004012688
2,261670,2,520138,-0.9877632132
2,261670,3,261816,-0.0005579547
2,261670,0,261670,0.0000000000
2,241442,1,241525,-0.0003437679
2,241442,2,479768,-0.9870942090
2,241442,3,241584,-0.0005881330
2,241442,0,241442,0.0000000000
2,227750,1,227845,-0.0004171240
2,227750,2,453246,-0.9901031833
2,227750,3,227892,-0.0006234907
2,227750,0,227750,0.0000000000
2,320306,1,320431,-0.0003902518
2,320306,2,635952,-0.9854514121
2,320306,3,320460,-0.0004807902
2,320306,0,320306,0.0000000000
2,244534,1,244634,-0.0004089411
2,244534,2,485992,-0.9874209721
2,244534,3,244680,-0.0005970540
2,244534,0,244534,0.0000000000
2,274773,1,274746,0.0000982629
2,274773,2,545456,-0.9851149858
2,274773,3,274920,-0.0005349871
2,274773,0,274773,0.0000000000
2,198686,1,198776,-0.0004529761
2,198686,2,395148,-0.9888064584
2,198686,3,198828,-0.0007146955
2,198686,0,198686,0.0000000000
2,272347,1,272457,-0.0004038965
2,272347,2,541022,-0.9865172005
2,272347,3,272492,-0.0005324090
2,272347,0,272347,0.0000000000
2,270774,1,270884,-0.0004062428
2,270774,2,537546,-0.9852201467
2,270774,3,270920,-0.0005391950
2,270774,0,270774,0.0000000000
2,212363,1,212453,-0.0004238026
2,212363,2,422214,-0.9881711974
2,212363,3,212504,-0.0006639575
2,212363,0,212363,0.0000000000
2,290704,1,290819,-0.0003955914
2,290704,2,577116,-0.9852358413
2,290704,3,290848,-0.0004953492
2,290704,0,290704,0.0000000000
2,201129,1,201219,-0.0004474740
2,201129,2,400222,-0.9898771435
2,201129,3,201272,-0.0007109865
2,201129,0,201129,0.0000000000
2,215521,1,215616,-0.0004407923
2,215521,2,428740,-0.9893189063
2,215521,3,215664,-0.0006635084
2,215521,0,215521,0.0000000000
2,251841,1,251928,-0.0003454561
2,251841,2,500992,-0.9893186574
2,251841,3,251988,-0.0005837016
2,251841,0,251841,0.0000000000
2,292808,1,292924,-0.0003961640
2,292808,2,581736,-0.9867489959
2,292808,3,292952,-0.0004917898
2,292808,0,292808,0.0000000000
2,379752,1,379776,-0.0000631991
2,379752,2,753118,-0.9831837620
2,379752,3,379912,-0.0004213276
2,379752,0,379752,0.0000000000
2,328473,1,328149,0.0009863824
2,328473,2,651056,-0.9820685414
2,328473,3,327604,0.0026455751
2,328473,0,328473,0.0000000000
2,327025,1,327039,-0.0000428102
2,327025,2,649246,-0.9853099916
2,327025,3,327008,0.0000519838
2,327025,0,327025,0.0000000000
2,227517,1,227613,-0.0004219465
2,227517,2,452254,-0.9877811328
2,227517,3,227660,-0.0006285245
2,227517,0,227517,0.0000000000
2,259360,1,259459,-0.0003817088
2,259360,2,515656,-0.9881863048
2,259360,3,259504,-0.0005552128
2,259360,0,259360,0.0000000000
2,228401,1,228497,-0.0004203134
2,228401,2,453922,-0.9873905981
2,228401,3,228544,-0.0006260918
2,228401,0,228401,0.0000000000
2,247429,1,247535,-0.0004284057
2,247429,2,491374,-0.9859191930
2,247429,3,247576,-0.0005941098
2,247429,0,247429,0.0000000000
2,305457,1,305566,-0.0003568424
2,305457,2,606170,-0.9844691724
2,305457,3,305608,-0.0004943413
2,305457,0,305457,0.0000000000
2,272123,1,272234,-0.0004079038
2,272123,2,540852,-0.9875276989
2,272123,3,272268,-0.0005328473
2,272123,0,272123,0.0000000000
2,221682,1,221778,-0.0004330528
2,221682,2,441018,-0.9894172734
2,221682,3,221824,-0.0006405572
2,221682,0,221682,0.0000000000
2,351493,1,351586,-0.0002645856
2,351493,2,697384,-0.9840622715
2,351493,3,351644,-0.0004295960
2,351493,0,351493,0.0000000000
2,198970,1,199061,-0.0004573554
2,198970,2,395816,-0.9893250239
2,198970,3,199112,-0.0007136754
2,198970,0,198970,0.0000000000
2,248881,1,248949,-0.0002732229
2,248881,2,494370,-0.9863709966
2,248881,3,249028,-0.0005906437
2,248881,0,248881,0.0000000000
2,172686,1,172520,0.0009612823
2,172686,2,342976,-0.9861251057
2,172686,3,172820,-0.0007759749
2,172686,0,172686,0.0000000000
2,399688,1,399766,-0.0001951522
2,399688,2,792332,-0.9823762535
2,399688,3,399600,0.0002201717
2,399688,0,399688,0.0000000000
2,241660,1,241761,-0.0004179426
2,241660,2,480506,-0.9883555408
2,241660,3,241804,-0.0005958785
2,241660,0,241660,0.0000000000
2,242009,1,242110,-0.0004173399
2,242009,2,481616,-0.9900747493
2,242009,3,242152,-0.0005908871
2,242009,0,242009,0.0000000000
2,246733,1,246839,-0.0004296142
2,246733,2,490414,-0.9876303535
2,246733,3,246880,-0.0005957857
2,246733,0,246733,0.0000000000
2,231280,1,231381,-0.0004367001
2,231280,2,460088,-0.9893116569
2,231280,3,231424,-0.0006226219
2,231280,0,231280,0.0000000000
2,333604,1,333709,-0.0003147444
2,333604,2,661332,-0.9823863023
2,333604,3,333756,-0.0004556300
2,333604,0,333604,0.0000000000
2,219275,1,219371,-0.0004378064
2,219275,2,436024,-0.9884802189
2,219275,3,219416,-0.0006430282
2,219275,0,219275,0.0000000000
2,224003,1,224099,-0.0004285657
2,224003,2,445678,-0.9896072820
2,224003,3,224144,-0.0006294559
2,224003,0,224003,0.0000000000
2,253891,1,253953,-0.0002441993
2,253891,2,504312,-0.9863327176
2,253891,3,254036,-0.0005711112
2,253891,0,253891,0.0000000000
2,280033,1,280149,-0.0004142369
2,280033,2,555964,-0.9853517264
2,280033,3,280180,-0.0005249381
2,280033,0,280033,0.0000000000
2,300010,1,300131,-0.0004033199
2,300010,2,595510,-0.9849671678
2,300010,3,300156,-0.0004866504
2,300010,0,300010,0.0000000000
2,290538,1,290654,-0.0003992593
2,290538,2,577082,-0.9862530891
2,290538,3,290684,-0.0005025160
2,290538,0,290538,0.0000000000
2,266208,1,266319,-0.0004169672
2,266208,2,528906,-0.9868148215
2,266208,3,266352,-0.0005409304
2,266208,0,266208,0.0000000000
2,204926,1,205017,-0.0004440627
2,204926,2,407548,-0.9887569171
2,204926,3,205068,-0.0006929331
2,204926,0,204926,0.0000000000
2,250572,1,250675,-0.0004110595
2,250572,2,497622,-0.9859441598
2,250572,3,250716,-0.0005746851
2,250572,0,250572,0.0000000000
2,266262,1,266367,-0.0003943484
2,266262,2,529464,-0.9885075602
2,266262,3,266408,-0.0005483321
2,266262,0,266262,0.0000000000
2,392435,1,392275,0.0004077108
2,392435,2,776688,-0.9791506874
2,392435,3,391360,0.0027393071
2,392435,0,392435,0.0000000000
2,237306,1,237383,-0.0003244756
2,237306,2,471728,-0.9878469150
2,237306,3,237448,-0.0005983835
2,237306,0,237306,0.0000000000
2,245775,1,245876,-0.0004109450
2,245775,2,488938,-0.9893723934
2,245775,3,245920,-0.0005899705
2,245775,0,245775,0.0000000000
2,231720,1,231821,-0.0004358709
2,231720,2,460132,-0.9857241498
2,231720,3,231864,-0.0006214397
2,231720,0,231720,0.0000000000
2,299449,1,299546,-0.0003239283
2,299449,2,594482,-0.9852529145
2,299449,3,299596,-0.0004909016
2,299449,0,299449,0.0000000000
2,290317,1,290397,-0.0002755609
2,290317,2,577348,-0.9886813380
2,290317,3,290464,-0.0005063431
2,290317,0,290317,0.0000000000
2,238770,1,238871,-0.0004230012
2,238770,2,474812,-0.9885747791
2,238770,3,238912,-0.0005947146
2,238770,0,238770,0.0000000000
2,231137,1,231238,-0.0004369703
2,231137,2,459452,-0.9877907907
2,231137,3,231280,-0.0006186807
2,231137,0,231137,0.0000000000
2,361123,1,361093,0.0000830742
2,361123,2,715744,-0.9819950543
2,361123,3,361276,-0.0004236784
2,361123,0,361123,0.0000000000
2,229122,1,229218,-0.0004189908
2,229122,2,455696,-0.9888792870
2,229122,3,229264,-0.0006197572
2,229122,0,229122,0.0000000000
2,288404,1,288520,-0.0004022136
2,288404,2,572716,-0.9858115699
2,288404,3,288548,-0.0004992996
2,288404,0,288404,0.0000000000
2,268271,1,268329,-0.0002161993
2,268271,2,532900,-0.9864241756
2,268271,3,268416,-0.0005404982
2,268271,0,268271,0.0000000000
2,247312,1,247341,-0.0001172608
2,247312,2,491316,-0.9866241832
2,247312,3,247456,-0.0005822605
2,247312,0,247312,0.0000000000
2,255897,1,256003,-0.0004142292
2,255897,2,507308,-0.9824695092
2,255897,3,256044,-0.0005744499
2,255897,0,255897,0.0000000000
2,219295,1,219391,-0.0004377665
2,219295,2,436130,-0.9887822340
2,219295,3,219436,-0.0006429695
2,219295,0,219295,0.0000000000
2,221258,1,221350,-0.0004158042
2,221258,2,440058,-0.9888907972
2,221258,3,221400,-0.0006417847
2,221258,0,221258,0.0000000000
2,171074,1,171012,0.0003624163
2,171074,2,340134,-0.9882273168
2,171074,3,171208,-0.0007832868
2,171074,0,171074,0.0000000000
2,281326,1,281419,-0.0003305773
2,281326,2,558546,-0.9854048328
2,281326,3,281472,-0.0005189709
2,281326,0,281326,0.0000000000
2,350277,1,350413,-0.0003882641
2,350277,2,695396,-0.9852745113
2,350277,3,350428,-0.0004310874
2,350277,0,350277,0.0000000000
2,253208,1,253314,-0.0004186282
2,253208,2,503342,-0.9878597833
2,253208,3,253352,-0.0005687024
2,253208,0,253208,0.0000000000
2,285766,1,285882,-0.0004059265
2,285766,2,567784,-0.9868843739
2,285766,3,285912,-0.0005109075
2,285766,0,285766,0.0000000000
2,236797,1,236898,-0.0004265257
2,236797,2,470968,-0.9889103325
2,236797,3,236940,-0.0006038928
2,236797,0,236797,0.0000000000
2,264560,1,264671,-0.0004195646
2,264560,2,526002,-0.9882143937
2,264560,3,264704,-0.0005443000
2,264560,0,264560,0.0000000000
2,275809,1,275877,-0.0002465474
2,275809,2,547890,-0.9864833997
2,275809,3,275956,-0.0005329775
2,275809,0,275809,0.0000000000
2,214623,1,214719,-0.0004472960
2,214623,2,426964,-0.9893674024
2,214623,3,214764,-0.0006569659
2,214623,0,214623,0.0000000000
2,366851,1,366974,-0.0003352860
2,366851,2,728236,-0.9851002178
2,366851,3,367012,-0.0004388703
2,366851,0,366851,0.0000000000
2,247515,1,247611,-0.0003878553
2,247515,2,491114,-0.9841787366
2,247515,3,247660,-0.0005858231
2,247515,0,247515,0.0000000000
2,219318,1,219414,-0.0004377206
2,219318,2,435740,-0.9867954295
2,219318,3,219460,-0.0006474617
2,219318,0,219318,0.0000000000
2,318732,1,318762,-0.0000941230
2,318732,2,632766,-0.9852603441
2,318732,3,318632,0.0003137432
2,318732,0,318732,0.0000000000
2,285192,1,285272,-0.0002805128
2,285192,2,566578,-0.9866546046
2,285192,3,285336,-0.0005049230
2,285192,0,285192,0.0000000000
2,347548,1,347612,-0.0001841472
2,347548,2,689086,-0.9827074246
2,347548,3,347688,-0.0004028221
2,347548,0,347548,0.0000000000
2,252538,1,252644,-0.0004197388
2,252538,2,502472,-0.9896886805
2,252538,3,252684,-0.0005781308
2,252538,0,252538,0.0000000000
2,239591,1,239692,-0.0004215517
2,239591,2,476670,-0.9895154659
2,239591,3,239732,-0.0005885029
2,239591,0,239591,0.0000000000
2,228898,1,228964,-0.0002883380
2,228898,2,455028,-0.9879072775
2,228898,3,229040,-0.0006203637
2,228898,0,228898,0.0000000000
2,260278,1,260249,0.0001114193
2,260278,2,516356,-0.9838634076
2,260278,3,260424,-0.0005609387
2,260278,0,260278,0.0000000000
2,273989,1,274100,-0.0004051258
2,273989,2,544138,-0.9859848388
2,273989,3,274136,-0.0005365179
2,273989,0,273989,0.0000000000
2,328121,1,328217,-0.0002925750
2,328121,2,649992,-0.9809521488
2,328121,3,328200,-0.0002407648
2,328121,0,328121,0.0000000000
2,214427,1,214523,-0.0004477048
2,214427,2,426546,-0.9892364301
2,214427,3,214568,-0.0006575664
2,214427,0,214427,0.0000000000
2,243437,1,243465,-0.0001150195
2,243437,2,484046,-0.9883830313
2,243437,3,243584,-0.0006038523
2,243437,0,243437,0.0000000000
2,246563,1,246667,-0.0004217989
2,246563,2,490288,-0.9884897572
2,246563,3,246708,-0.0005880850
2,246563,0,246563,0.0000000000
2,246078,1,246179,-0.0004104390
2,246078,2,489260,-0.9882313738
2,246078,3,246224,-0.0005933078
2,246078,0,246078,0.0000000000
2,255986,1,256092,-0.0004140851
2,255986,2,508716,-0.9872805544
2,255986,3,256132,-0.0005703437
2,255986,0,255986,0.0000000000
2,210597,1,210688,-0.0004321049
2,210597,2,418554,-0.9874642089
2,210597,3,210740,-0.0006790220
2,210597,0,210597,0.0000000000
2,343258,1,343323,-0.0001893619
2,343258,2,680610,-0.9827942830
2,343258,3,343348,-0.0002621935
2,343258,0,343258,0.0000000000
2,337523,1,337520,0.0000088883
2,337523,2,669136,-0.9824900822
2,337523,3,337472,0.0001511008
2,337523,0,337523,0.0000000000
2,268869,1,268964,-0.0003533319
2,268869,2,534410,-0.9876222249
2,268869,3,269016,-0.0005467347
2,268869,0,268869,0.0000000000
2,255163,1,255269,-0.0004154207
2,255163,2,506364,-0.9844726704
2,255163,3,255308,-0.0005682642
2,255163,0,255163,0.0000000000
2,255631,1,255737,-0.0004146602
2,255631,2,507920,-0.9869264682
2,255631,3,255776,-0.0005672239
2,255631,0,255631,0.0000000000
2,200543,1,200586,-0.0002144179
2,200543,2,398046,-0.9848411563
2,200543,3,200684,-0.0007030911
2,200543,0,200543,0.0000000000
2,259870,1,259976,-0.0004078963
2,259870,2,516396,-0.9871320276
2,259870,3,260016,-0.0005618194
2,259870,0,259870,0.0000000000
2,194000,1,194086,-0.0004432990
2,194000,2,385974,-0.9895567010
2,194000,3,194144,-0.0007422680
2,194000,0,194000,0.0000000000
2,204780,1,204789,-0.0000439496
2,204780,2,406716,-0.9861119250
2,204780,3,204924,-0.0007031937
2,204780,0,204780,0.0000000000
2,249358,1,249464,-0.0004250916
2,249358,2,495300,-0.9863008205
2,249358,3,249504,-0.0005855036
2,249358,0,249358,0.0000000000
2,283790,1,283906,-0.0004087530
2,283790,2,564358,-0.9886465344
2,283790,3,283936,-0.0005144649
2,283790,0,283790,0.0000000000
2,244363,1,244464,-0.0004133195
2,244363,2,486434,-0.9906205113
2,244363,3,244508,-0.0005933795
2,244363,0,244363,0.0000000000
2,210377,1,210451,-0.0003517495
2,210377,2,418392,-0.9887725369
2,210377,3,210520,-0.0006797321
2,210377,0,210377,0.0000000000
2,238303,1,238404,-0.0004238302
2,238303,2,473574,-0.9872767023
2,238303,3,238444,-0.0005916837
2,238303,0,238303,0.0000000000
2,240066,1,240167,-0.0004207176
2,240066,2,477064,-0.9872201811
2,240066,3,240208,-0.0005915040
2,240066,0,240066,0.0000000000
2,228353,1,228449,-0.0004204017
2,228353,2,453626,-0.9865121106
2,228353,3,228496,-0.0006262234
2,228353,0,228353,0.0000000000
2,273866,1,273957,-0.0003322793
2,273866,2,544152,-0.9869279137
2,273866,3,274012,-0.0005331074
2,273866,0,273866,0.0000000000
2,305642,1,305763,-0.0003958880
2,305642,2,606960,-0.9858527297
2,305642,3,305796,-0.0005038575
2,305642,0,305642,0.0000000000
2,245086,1,245187,-0.0004121002
2,245086,2,486440,-0.9847726920
2,245086,3,245232,-0.0005957093
2,245086,0,245086,0.0000000000
2,277170,1,277281,-0.0004004762
2,277170,2,551040,-0.9880939496
2,277170,3,277316,-0.0005267525
2,277170,0,277170,0.0000000000
2,208366,1,208457,-0.0004367315
2,208366,2,414198,-0.9878387069
2,208366,3,208508,-0.0006814931
2,208366,0,208366,0.0000000000
2,262757,1,262854,-0.0003691624
2,262757,2,521860,-0.9860936150
2,262757,3,262904,-0.0005594523
2,262757,0,262757,0.0000000000
2,344175,1,344306,-0.0003806203
2,344175,2,684068,-0.9875586548
